codigo,descripcion,valor_en_inventario,moneda
94,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
95,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
96,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
97,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
98,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
99,VIDEO PROYECTOR MCA. EPSON MOD. POWER LITE X27,11873.75,PESOS
100,SILLA FIJA CON PALETA TAPIZADA EN TELA GRIS,1500.0,PESOS
101,MESA PARA MAQUINA,2600.0,PESOS
102,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
103,MESA DE MADERA CON ESTRUCTURA METALICA,545.45,PESOS
104,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
105,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
106,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
107,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA FIUSHA,1500.0,PESOS
108,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
109,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
110,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
111,TELEVISION MCA. HITACHI,2384.0,PESOS
112,PANTALLA COLGANTE MCA. DA-LITE,2096.21,PESOS
113,ROTAFOLIO DE ALUMINIO PLEGABLE,4342.0,PESOS
114,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA FIUSHA,1500.0,PESOS
115,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
116,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA FIUSHA,1500.0,PESOS
117,CPU MCA. LENOVO,5022.0,PESOS
118,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA FIUSHA,1500.0,PESOS
119,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA FIUSHA,1500.0,PESOS
120,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA FIUSHA,1500.0,PESOS
121,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
122,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
123,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
124,ENFRIADOR Y CALENTADOR DE AGUA MCA. OASIS,2127.5,PESOS
125,MESA PARA TELEFONO,5433.0,PESOS
126,MESA BINARIA,571.0,PESOS
127,MESA PARA AULAS,4193.69,PESOS
128,PANTALLA COLGANTE MCA. DA-LITE,2096.21,PESOS
129,REGULADOR NO-BREAK MCA. KOBLENZ,1156.45,PESOS
130,SILLA FIJA TIPO TRINEO TAPIZADA EN TELA AZUL,1500.0,PESOS
131,SILLA FIJA TIPO TRINEO TAPIZADA EN TELA AZUL,1500.0,PESOS
132,SILLA TIPO TRINEO COLOR AZUL,1500.0,PESOS
133,BAFLES MCA. JBL DE 8 OHMS DE IMPENDANCIA,7094.35,PESOS
134,MESA DE MADERA Y METAL BIPERSONAL,545.45,PESOS
135,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
136,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
137,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
138,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
139,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
140,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
141,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
142,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,494.5,PESOS
143,CARRO TRANSPORTADOR DE LIBROS,4418.0,PESOS
144,VENTILADOR,1369.72,PESOS
145,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
146,ANAQUEL SENCILLO DE 18 CHAROLAS,4059.0,PESOS
147,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
148,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
149,VENTILADOR MCA. PHILIPS,3076.52,PESOS
150,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
151,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
152,ATRIL,545.45,PESOS
153,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
154,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,494.5,PESOS
155,SILLA FIJA CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
156,ATRIL,545.45,PESOS
157,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
158,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,494.5,PESOS
159,SILLA FIJA CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
160,BASE PARA MICROFONO CON BOOM,3760.0,PESOS
161,BASE PARA MICROFONO CON BOOM,3760.0,PESOS
162,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,216.0,PESOS
163,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROSA,1500.0,PESOS
164,BASE PARA MICROFONO,3760.0,PESOS
165,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA VERDE,494.5,PESOS
166,BASE PARA MICROFONO CON BOOM,3760.0,PESOS
167,BASE PARA MICROFONO CON BOOM,3760.0,PESOS
168,MESA DE MADERA Y METAL BIPERSONAL,554.0,PESOS
169,BASE PARA MICROFONO CON BOOM,3760.0,PESOS
170,SILLA FIJA SIN PALETA TAPIZADA EN TELA VERDE ESMERALDA,1500.0,PESOS
171,CARRO TRANSPORTADOR DE LIBROS,4418.0,PESOS
172,REGULADOR MCA. FORTRESS 750,1645.5,PESOS
173,BASE PARA MICROFONO CON BOOM,3760.0,PESOS
174,PEDESTAL MOVIL,3760.0,PESOS
175,RODABANCO METALICO,4448.85,PESOS
176,VENTILADOR DE PEDESTAL 18 PULGADAS MCA. LAND MOD. CL4502,750.0,PESOS
177,VENTILADOR DE PEDESTAL 18 PULGADAS MCA. IMAGE LAND MOD. CL4502,750.0,PESOS
178,ANAQUEL METALICO 50 CHAROLAS,3772.11,PESOS
179,ESTANTE METALICO,3772.11,PESOS
180,ESTANTE METALICO,3772.11,PESOS
181,ANAQUEL COLOR OSTION,2718.3,PESOS
182,ANAQUEL COLOR OSTION,2718.3,PESOS
183,ANAQUEL COLOR OSTION,2718.3,PESOS
184,ANAQUEL COLOR OSTION,2718.3,PESOS
185,ANAQUEL METALICO BLANCO,176.0,PESOS
186,LIBRERO DE MADERA,1542.91,PESOS
187,REGRESADORA DE VIDEOCASSET,2306.21,PESOS
188,ARCHIVERO METALICO 4 GAVETAS COLOR NEGRO,1004.0,PESOS
189,ARCHIVERO METALICO 4 GAVETAS,454.0,PESOS
190,ARCHIVERO METALICO 4 GAVETAS,746.0,PESOS
191,CREDENZA DE MADERA,1542.96,PESOS
192,MESA PARA TELEFONO,5433.0,PESOS
193,MODULO PARA COMPUTADORA 2 PIEZAS,6761.0,PESOS
194,SILLA SECRETARIAL TELA NEGRA,4193.0,PESOS
195,ANAQUEL DE METAL,176.0,PESOS
196,ESCRITORIO DE MADERA 2 CAJONES,6761.0,PESOS
197,SILLA SECRETARIAL TAPIZADA EN TELA VINO,1500.0,PESOS
198,SILLON DE MADERA TAPIZADO EN TELA NEGRA,1500.0,PESOS
199,ESCALERA TIPO TIJERA 5 ESCALONES,782.0,PESOS
200,LOCKER METALICO,4726.0,PESOS
201,ATRIL DE MADERA,2970.21,PESOS
202,ARCHIVERO METALICO 4 GAVETAS,729.0,PESOS
203,SILLA FIJA TIPO TRINEO TAPIZADA EN TELA VINO,1500.0,PESOS
204,MESA BIPERSONAL,554.0,PESOS
205,ESCRITORIO DE MADERA 2 CAJONES,6761.0,PESOS
206,MESA PARA TELEFONO,5433.0,PESOS
207,SILLA SECRETARIAL CON BRAZOS TAPIZADA EN TELA VERDE,221.0,PESOS
208,IMPRESORA MCA. HP,10332.0,PESOS
209,ESCRITORIO DE MADERA 2 CAJONES,2340.0,PESOS
210,MESA PARA AULAS,1250.0,PESOS
211,ENFRIADOR DE AGUA MCA. OASIS MOD. BPL 1 SHS,2127.5,PESOS
212,MESA DE MADERA Y METAL BIPERSONAL,4754.0,PESOS
213,CPU MCA. DELL MOD. OPTIPLEX GX520,10386.81,PESOS
214,SILLA FIJA TAPIZADA EN TELA GRIS,1500.0,PESOS
215,TELEFONO MCA. ALCATEL,3288.04,PESOS
216,SILLA ANALISTA OPERATIVA DE RESPALDO MEDIO TAPIZADO EN MALLA,2784.0,PESOS
217,ARCHIVERO METALICO 4 GAVETAS,176.0,PESOS
218,LOCKER METALICO,4726.0,PESOS
219,SILLA FIJA TAPIZADA EN VINIL NEGRO,1500.0,PESOS
220,ARCHIVERO METALICO 4 GAVETAS,729.0,PESOS
221,MEZCLADORA MCA. TASCAM,7405.0,PESOS
222,VENTILADOR CON PEDESTAL MCA. BIRTMAN,1369.72,PESOS
223,MUEBLE DE MADERA CON ENTREPAÃOS Y PUERTA,176.0,PESOS
224,SILLA FIJA TIPO TRINEO CON PALETA TAPIZADA EN TELA ROJA,1500.0,PESOS
225,SILLA SECRETARIAL CON BRAZOS TAPIZADA EN TELA VINO,741.75,PESOS
226,SILLON DE MADERA TAPIZADO EN TELA VINO,1330.21,PESOS
227,ESCRITORIO METALICO 2 CAJONES,2071.96,PESOS
228,MONITOR MCA. ACER,2152.0,PESOS
229,SILLA ANALISTA OPERATIVA DE RESPALDO MEDIO TAPIZADO EN MALLA,2784.0,PESOS
230,ARCHIVERO METALICO 4 GAVETAS,746.0,PESOS
231,CPU MCA. DELL MOD. OPTIPLEX GX520,5193.74,PESOS
232,MESA PARA MAQUINA DE ESCRIBIR,2600.0,PESOS
233,CREDENZA DE MADERA,1442.61,PESOS
234,ESCRITORIO DE MADERA 2 CAJONES,2340.0,PESOS
235,SILLA SECRETARIAL TAPIZADA EN TELA NEGRA,1500.0,PESOS
236,RODABANCO,872.85,PESOS
237,ESCRITORIO METALICO,6761.0,PESOS
238,MESA BIPERSONAL,4754.0,PESOS
239,ARCHIVERO DE 4 GAVETAS,364.0,PESOS
240,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
241,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
242,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
243,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
244,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
245,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
246,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
247,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
248,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
249,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
250,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
251,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
252,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
253,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
254,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
255,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
256,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
257,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
258,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
259,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
260,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
261,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
262,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
263,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
264,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
265,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
266,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
267,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
268,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
269,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
270,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
271,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
272,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
273,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
274,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
275,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
276,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
277,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
278,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
279,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
280,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
281,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
282,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
283,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
284,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
285,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
286,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
287,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
288,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
289,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
290,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
291,ESTANTE DE METAL COLOR GRIS,1394.3,PESOS
292,MESA DE CONFERENCIA CIRCULAR,1127.0,PESOS
293,"SILLA FIJA METAL, FORRADA EN TELA AZUL",800.0,PESOS
294,"SILLA FIJA METAL, FORRADA EN TELA AZUL",221.0,PESOS
295,"SILLA FIJA METAL, TELA AZUL",221.0,PESOS
296,"SILLA FIJA METAL, TELA AZUL",221.0,PESOS
297,MESA BIPERSONAL,3134.7,PESOS
298,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
299,SILLA PARA MESA BINARIA EN PLASTICO AZUL SIN PALETA,350.0,PESOS
300,SILLA PARA MESA BINARIA EN PLASTICO AZUL SIN PALETA,571.0,PESOS
301,MESA BINARIA DE 40X120X76 MCA. ERJA MOD. MBUPN,572.0,PESOS
302,CONSOLA DE AUDIO MARCA PEAVEY MODELO XR1200G,7494.0,PESOS
303,SILLA FIJA DE MADERA APILABLE,1500.0,PESOS
304,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
305,MESA BINARIA DE 40X120X76 MCA. ERJA MOD. MBUPN,572.0,PESOS
306,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
307,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
308,BAFLE JBL,2508.21,PESOS
309,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
310,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
311,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
312,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
313,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
314,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
315,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
316,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
317,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
318,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
319,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
320,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
321,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
322,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
323,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
324,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
325,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
326,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
327,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
328,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
329,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
330,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
331,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
332,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
333,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
334,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
335,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
336,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
337,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
338,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
339,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
340,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
341,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
342,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
343,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
344,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
345,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
346,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
347,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
348,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
349,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
350,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
351,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
352,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
353,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
354,BUTACA TAPIZADA EN TELA AZUL,5610.0,PESOS
355,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
356,BUTACA TAPIZADA EN TELA AZUL,1357.0,PESOS
